,S2Ctrl_7,WTCtrl_1,S2Ctrl_8,WTCtrl_2,S2Ctrl_9,WTCtrl_3,S2CYTO_10,WTCYTO_4,S2CYTO_11,WTCYTO_5,S2CYTO_12,WTCYTO_6
AC002074.2,2,0,5,0,0,0,0,0,0,0,0,0
AC002075.1,0,0,0,0,1,1,0,0,0,0,0,0
AC002075.2,28,10,49,89,7,10,4,11,11,32,16,11
AC002076.1,4,0,8,34,2,3,2,12,7,20,6,6
AC002076.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002090.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002091.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002091.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002094.1,0,0,0,6,0,0,0,0,6,0,150,0
AC002094.2,0,0,0,0,0,0,0,0,0,0,4,0
AC002094.3,0,0,0,0,0,0,0,0,0,0,0,0
AC002094.4,2,0,0,0,0,0,0,0,0,2,0,2
AC002094.5,2,0,0,1,1,0,0,0,0,2,0,0
AC002101.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002115.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002116.1,0,0,0,0,0,0,0,15,0,0,0,0
AC002116.2,9,18,7,26,0,9,5,5,0,6,0,0
AC002127.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002127.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002128.1,0,0,0,4,0,0,0,0,0,0,0,0
AC002128.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002306.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002310.1,26,26,38,137,24,44,0,10,6,23,21,22
AC002310.2,12,4,0,5,0,1,0,4,0,0,0,0
AC002310.3,0,2,0,5,0,1,2,1,0,0,1,0
AC002310.4,0,4,5,5,0,9,9,4,0,0,4,0
AC002310.5,0,20,12,54,13,25,0,22,0,16,0,13
AC002310.6,46,27,33,117,49,59,24,44,18,35,25,30
AC002347.1,0,0,0,0,0,1,0,1,0,0,3,0
AC002347.2,4,0,2,15,3,0,5,0,0,3,0,0
AC002350.1,44,32,35,109,42,21,34,130,40,48,35,73
